City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.42,19.23,60.01,79.0,2.0,5.01,ZA,1593506973
Hithadhoo,-0.6,73.08,84.65,64.0,15.0,3.4,MV,1593506703
Kapaa,22.08,-159.32,78.8,78.0,90.0,11.41,US,1593506975
Rikitea,-23.12,-134.97,69.06,58.0,84.0,18.21,PF,1593506976
Katsuura,35.13,140.3,78.8,94.0,75.0,16.11,JP,1593506802
Butaritari,3.07,172.79,82.63,74.0,37.0,5.37,KI,1593506978
Arlit,18.74,7.39,94.73,29.0,0.0,11.54,NE,1593506978
Porto-Novo,6.5,2.6,78.8,88.0,40.0,9.17,BJ,1593506979
Hilo,19.73,-155.09,75.2,83.0,75.0,4.7,US,1593506980
Ushuaia,-54.8,-68.3,26.6,86.0,75.0,6.93,AR,1593506980
Cidreira,-30.18,-50.21,59.94,97.0,100.0,8.46,BR,1593506981
East London,-33.02,27.91,62.6,67.0,20.0,9.17,ZA,1593506982
Bereda,43.27,-7.54,75.0,76.0,5.0,8.99,ES,1593506983
Kumul,42.8,93.45,86.79,16.0,0.0,11.81,CN,1593506944
Suntar,62.14,117.63,84.78,37.0,50.0,3.62,RU,1593506984
Barrow,71.29,-156.79,35.6,88.0,75.0,11.41,US,1593506985
Vanavara,60.34,102.28,81.75,42.0,97.0,3.74,RU,1593506986
Busselton,-33.65,115.33,59.0,64.0,57.0,20.38,AU,1593506987
Eydhafushi,5.1,73.07,83.79,76.0,100.0,9.91,MV,1593506702
Flagstaff,35.2,-111.65,52.0,29.0,20.0,2.91,US,1593506988
Adrar,20.5,-10.07,95.86,11.0,10.0,8.61,MR,1593506989
Saint-Pierre,-21.34,55.48,77.0,65.0,0.0,19.46,RE,1593506990
Mataura,-46.19,168.86,41.36,92.0,91.0,3.31,NZ,1593506990
Shenzhen,22.55,114.07,91.0,73.0,100.0,3.0,CN,1593506411
Cockburn Town,21.46,-71.14,82.18,77.0,0.0,15.99,TC,1593506992
Thompson,55.74,-97.86,53.6,93.0,90.0,5.82,CA,1593506992
Dicabisagan,17.08,122.42,86.72,71.0,33.0,14.27,PH,1593506993
Fairbanks,64.84,-147.72,51.8,81.0,90.0,6.93,US,1593506994
Atuona,-9.8,-139.03,79.72,77.0,1.0,18.63,PF,1593506994
Port Alfred,-33.59,26.89,64.0,80.0,49.0,1.01,ZA,1593506995
Lavrentiya,65.58,-171.0,43.45,68.0,100.0,7.47,RU,1593506996
Dikson,73.51,80.55,53.47,64.0,77.0,21.92,RU,1593506997
Āsosa,10.07,34.53,72.07,81.0,90.0,3.8,ET,1593506998
Bredasdorp,-34.53,20.04,57.2,93.0,2.0,3.36,ZA,1593506999
Sitka,57.05,-135.33,53.6,81.0,90.0,6.93,US,1593506999
Bethel,41.37,-73.41,66.2,88.0,90.0,3.6,US,1593507000
Oil City,41.43,-79.71,59.0,100.0,1.0,4.7,US,1593507001
Tuatapere,-46.13,167.68,45.16,84.0,84.0,7.45,NZ,1593507001
Seoul,37.57,126.98,73.4,68.0,90.0,20.8,KR,1593506808
Molėtai,55.23,25.42,66.99,72.0,75.0,17.22,LT,1593507003
Bambous Virieux,-20.34,57.76,77.0,73.0,75.0,4.7,MU,1593507003
Chui,-33.7,-53.46,56.62,92.0,100.0,10.07,UY,1593507004
Albany,42.6,-73.97,66.0,88.0,100.0,4.07,US,1593507005
Caravelas,-17.71,-39.25,71.83,90.0,99.0,9.51,BR,1593507006
Kieta,-6.22,155.63,80.87,75.0,51.0,1.99,PG,1593507006
Pemangkat,1.17,108.97,82.78,75.0,61.0,6.06,ID,1593507008
Vaini,-21.2,-175.2,71.6,100.0,75.0,2.24,TO,1593507009
Indramayu,-6.33,108.32,84.42,69.0,10.0,12.44,ID,1593506818
Punta Arenas,-53.15,-70.92,23.0,92.0,3.0,3.24,CL,1593507010
Tasiilaq,65.61,-37.64,50.0,57.0,100.0,24.16,GL,1593507011
Yellowknife,62.46,-114.35,61.0,67.0,20.0,9.17,CA,1593507012
Cabo San Lucas,22.89,-109.91,78.01,88.0,100.0,6.13,MX,1593506847
Solnechnyy,50.72,136.63,72.32,50.0,18.0,4.5,RU,1593507013
Chapaevsk,52.98,49.71,62.6,42.0,40.0,6.71,RU,1593506738
Bengkulu,-3.8,102.27,86.16,62.0,5.0,8.55,ID,1593506820
Rome,43.21,-75.46,66.2,82.0,90.0,3.36,US,1593506993
Nikolskoye,59.7,30.79,73.0,68.0,75.0,13.42,RU,1593507016
Aksarka,66.56,67.8,56.89,60.0,100.0,8.14,RU,1593507017
Castro,-24.79,-50.01,57.33,96.0,67.0,9.01,BR,1593507017
Porbandar,21.64,69.61,88.45,65.0,93.0,6.85,IN,1593507018
Rocha,-34.48,-54.33,54.75,95.0,100.0,10.27,UY,1593507019
Carutapera,-1.2,-46.02,73.92,94.0,23.0,7.11,BR,1593507020
Kokopo,-4.35,152.26,79.45,82.0,100.0,7.34,PG,1593506953
Jizan,17.33,42.67,100.4,50.0,0.0,14.99,SA,1593507021
Cape Town,-33.93,18.42,64.99,93.0,0.0,1.12,ZA,1593507022
Damāvand,35.72,52.06,87.8,19.0,20.0,4.7,IR,1593507023
Chicama,-7.84,-79.15,62.4,86.0,58.0,4.76,PE,1593507024
Marsh Harbour,26.54,-77.06,81.9,73.0,0.0,6.33,BS,1593507024
Cayenne,4.93,-52.33,73.4,100.0,30.0,7.16,GF,1593507025
Saint Paul Harbor,57.79,-152.41,55.4,66.0,1.0,8.05,US,1593507026
Parabel',58.7,81.48,68.2,48.0,5.0,13.04,RU,1593507027
Sladkovo,55.53,70.34,61.75,69.0,100.0,10.56,RU,1593507028
Tignère,7.37,12.65,64.65,99.0,100.0,0.4,CM,1593507028
Westport,41.14,-73.36,66.0,99.0,21.0,6.04,US,1593507029
Soyo,-6.13,12.37,75.2,78.0,75.0,3.47,AO,1593507030
Mount Isa,-20.73,139.5,75.2,29.0,15.0,4.7,AU,1593507031
Sur,22.57,59.53,97.36,46.0,0.0,7.72,OM,1593507032
Hobart,-42.88,147.33,51.8,66.0,90.0,8.05,AU,1593506942
Verkhnyaya Inta,65.98,60.31,44.69,74.0,100.0,12.73,RU,1593507034
Svobodnyy,51.4,128.13,82.56,46.0,28.0,5.59,RU,1593507034
Avarua,-21.21,-159.78,75.2,73.0,14.0,17.22,CK,1593507035
Melita,49.27,-101.0,68.0,93.0,100.0,8.99,CA,1593507036
Heraclea,37.51,34.05,81.95,21.0,28.0,7.27,TR,1593507036
Savannakhet,16.57,104.75,91.4,49.0,75.0,2.24,LA,1593506821
Tiksi,71.69,128.87,50.41,59.0,64.0,6.22,RU,1593506904
Kloulklubed,7.04,134.26,77.0,88.0,90.0,4.7,PW,1593507039
Bo Phloi,14.32,99.52,91.96,52.0,84.0,13.47,TH,1593507039
Mar del Plata,-38.0,-57.56,52.0,81.0,90.0,16.11,AR,1593507040
Port Hedland,-20.32,118.57,82.4,28.0,40.0,9.17,AU,1593507041
